url,title,realization,genre,subgenre,production,coproduction,type,theme,year
https://www.unifrance.org/film/49482/nous,Nous,Alice Diop,Documentaire,null,Athénaïse,Arte France Cinéma,Long-métrage,null,2020
https://www.unifrance.org/film/48468/les-sans-dents,Les Sans-Dents,Pascal Rabaté,Fiction,Comédie,Loin Derrière l'Oural,null,Long-métrage,null,2020
https://www.unifrance.org/film/49833/paraiso,Paraíso,Sergio Tréfaut,Documentaire,Documentaire,Les Films d'Ici,null,Long-métrage,null,2020
https://www.unifrance.org/film/52102/une-autre-idee-du-monde,Une autre idée du monde,"Bernard-Henri Lévy, Marc Roussel",Documentaire,null,Madison Films,France 2 Cinéma,Long-métrage,null,2020
https://www.unifrance.org/film/55403/temps-morts,Temps morts,"Vincent Dieutre, Julien Théves",Documentaire,Documentaire,La Huit,null,Long-métrage,null,2020
https://www.unifrance.org/film/49800/zepon,Zépon,Gilles Elie-Dit-Cosaque,Fiction,null,Promenades Films,La Maison Garage,Long-métrage,null,2020
https://www.unifrance.org/film/52686/secret-de-famille,Secret de famille,Cristiane Oliveira,Fiction,Drame,Épicentre Films,Épicentre Films,Long-métrage,null,undefined
https://www.unifrance.org/film/53067/permaculture-en-france-un-art-de-vivre-pour-demain,Permaculture en France - Un art de vivre pour demain,Olivier Goujon,Documentaire,Documentaire,OG Films,null,Long-métrage,null,2020
https://www.unifrance.org/film/50830/une-barque-sur-l-ocean,Une barque sur l'océan,Arnold de Parscau,Fiction,"Drame, Romance",Fleurs d'Argent Productions,null,Long-métrage,null,2020
https://www.unifrance.org/film/52794/teresa-de-jesus,Teresa de Jesus,Lionel Baillemont,Fiction,"Historique, Drame",Dopamyne Films,Ophelia Film,Long-métrage,null,2020
https://www.unifrance.org/film/50811/ziyara,Ziyara,Simone Bitton,Documentaire,null,Ciné-Sud Promotion,null,Long-métrage,null,2020
https://www.unifrance.org/film/47079/si-demain,Si demain,Fabienne Godet,Fiction,Drame,Le Bureau Films,null,Long-métrage,null,2020
https://www.unifrance.org/film/51135/les-petites-fievres,Les Petites Fièvres,Lise Thibeault,Documentaire,null,Saison Unique,null,Long-métrage,null,2020
https://www.unifrance.org/film/50072/une-fois-que-tu-sais,Une fois que tu sais,Emmanuel Cappellin,Documentaire,null,Pulp Films,null,Long-métrage,null,2020
https://www.unifrance.org/film/49244/la-terre-des-hommes,La Terre des hommes,Naël Marandin,Fiction,Drame,Diligence Films,"K'ien Productions, France 3 Cinéma",Long-métrage,null,2020
https://www.unifrance.org/film/45223/anna,Anna,Luc Besson,Fiction,"Action, Thriller",EuropaCorp,TF1 Films Production,Long-métrage,null,2019
https://www.unifrance.org/film/50902/le-soleil-reviendra,Le Soleil reviendra,Cheyenne Carron,Fiction,Drame,Hésiode Productions,null,Long-métrage,null,2020
